City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ust-nera,64.5667,143.2,-13.16,94,100,1.37,RU,1697320504
1,jining,35.405,116.5814,14.22,49,0,2.51,CN,1697320504
2,verkhnevilyuysk,63.4453,120.3167,-11.14,92,5,2.24,RU,1697320504
3,kodiak,57.79,-152.4072,6.73,70,0,2.06,US,1697320504
4,ola,59.5833,151.2833,-1.44,68,94,1.92,RU,1697320505
5,kaindy,42.8247,73.6759,5.26,65,42,1.18,KG,1697320505
6,isafjordur,66.0755,-23.124,0.58,95,100,2.73,IS,1697320505
7,enewetak,11.3474,162.3373,28.42,73,72,2.38,MH,1697320505
8,ushuaia,-54.8,-68.3,7.81,57,0,8.75,AR,1697320505
9,saint-philippe,-21.3585,55.7679,21.77,82,46,5.03,RE,1697320505
10,inhambane,-23.865,35.3833,21.96,72,66,5.76,MZ,1697320506
11,itoman,26.1247,127.6694,25.43,72,40,7.2,JP,1697320506
12,invercargill,-46.4,168.35,9.45,85,97,4.92,NZ,1697320506
13,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,73,75,6.71,RU,1697320506
14,waitangi,-43.9535,-176.5597,15.46,82,1,3.58,NZ,1697320506
15,torre del mar,36.7414,-4.0946,24.52,59,15,2.16,ES,1697320507
16,griffith,41.5284,-87.4237,12.28,83,100,8.75,US,1697320323
17,dueville,45.6337,11.5502,20.27,83,31,1.11,IT,1697320507
18,margaret river,-33.95,115.0667,11.66,76,2,5.1,AU,1697320507
19,lihue,21.9789,-159.3672,29.09,65,20,3.6,US,1697320507
20,saipan,15.1355,145.701,26.39,89,20,2.06,MP,1697320507
21,college,64.8569,-147.8028,4.89,81,100,2.06,US,1697320508
22,weno,7.4515,151.8468,24.97,94,100,3.6,FM,1697320508
23,yellowknife,62.456,-114.3525,11.34,75,20,8.23,CA,1697320249
24,bilibino,68.0546,166.4372,-10.58,97,98,1.14,RU,1697320508
25,olonkinbyen,70.9221,-8.7187,-2.1,88,100,9.31,SJ,1697320508
26,trinidad,-14.8333,-64.9,32.99,43,40,1.54,BO,1697320509
27,konstantinovsk,47.5828,41.0922,13.81,72,0,2.34,RU,1697320509
28,la sarre,48.8002,-79.1996,7.24,89,100,4.95,CA,1697320509
29,port-aux-francais,-49.35,70.2167,0.23,84,81,12.56,TF,1697320509
30,fale old settlement,-9.3852,-171.2468,28.55,76,46,9.61,TK,1697320509
31,badger,64.8,-147.5333,4.84,82,0,2.06,US,1697320509
32,sunchales,-30.944,-61.5615,25.03,23,1,3.69,AR,1697320510
33,tiksi,71.6872,128.8694,-11.09,94,100,4.07,RU,1697320510
34,iqaluit,63.7506,-68.5145,-0.15,86,75,5.14,CA,1697320510
35,papatowai,-46.5619,169.4708,7.72,92,100,7.22,NZ,1697320510
36,bethel,41.3712,-73.414,10.2,87,100,0.0,US,1697320510
37,susuman,62.7833,148.1667,-12.79,95,100,0.45,RU,1697320511
38,qaqortoq,60.7167,-46.0333,4.19,63,21,1.69,GL,1697320511
39,longyearbyen,78.2186,15.6401,-0.09,69,75,7.72,SJ,1697320511
40,santa rosa,14.3122,121.1114,27.75,86,97,3.1,PH,1697320511
41,punta arenas,-53.15,-70.9167,10.06,53,75,8.23,CL,1697320511
42,beau vallon,-20.4189,57.6953,20.68,82,20,2.06,MU,1697320511
43,tual,-5.6667,132.75,26.86,82,83,7.5,ID,1697320512
44,tura,25.5198,90.2201,19.88,79,0,1.41,IN,1697320512
45,greenville,35.6127,-77.3663,21.09,97,100,2.06,US,1697320435
46,kem',64.9555,34.5793,7.43,89,98,7.73,RU,1697320512
47,west end,26.6833,-78.9667,28.99,83,35,2.5,BS,1697320512
48,bredasdorp,-34.5322,20.0403,15.02,80,79,8.17,ZA,1697320513
49,blackmans bay,-43.0167,147.3167,9.29,69,98,2.78,AU,1697320513
50,grytviken,-54.2811,-36.5092,-3.18,86,40,3.81,GS,1697320513
51,limassol,34.675,33.0333,23.04,68,0,4.12,CY,1697320513
52,kenora,49.8167,-94.4337,8.54,71,75,2.57,CA,1697320513
53,roma,43.2128,-75.4557,12.2,74,40,2.06,US,1697320374
54,namibe,-15.1961,12.1522,17.86,82,100,1.91,AO,1697320514
55,jiwani,25.05,61.7417,27.0,82,4,3.93,PK,1697320514
56,oyama,36.3,139.8,18.1,93,100,2.15,JP,1697320514
57,klyuchi,52.2667,79.1667,7.83,54,100,3.92,RU,1697320514
58,novokhopersk,51.0969,41.6252,9.51,84,30,4.39,RU,1697320515
59,queenstown,-31.8976,26.8753,7.95,87,42,1.89,ZA,1697320515
60,nichinan,31.6,131.3667,16.82,76,1,4.63,JP,1697320515
61,kailua-kona,19.6406,-155.9956,30.15,69,20,3.6,US,1697320420
62,adamstown,-25.066,-130.1015,21.33,69,97,0.56,PN,1697320516
63,tazacorte,28.629,-17.9293,29.53,21,0,4.47,ES,1697320516
64,sirte,31.2089,16.5887,23.12,70,0,1.5,LY,1697320516
65,baoding,38.8511,115.4903,13.06,43,0,2.95,CN,1697320516
66,edinburgh of the seven seas,-37.0676,-12.3116,14.59,97,100,8.08,SH,1697320516
67,holualoa,19.6228,-155.9522,28.21,68,20,3.6,US,1697320516
68,al kharijah,25.4514,30.5464,23.83,34,0,2.89,EG,1697320517
69,tarfaya,27.9358,-12.9218,23.08,74,16,5.46,MA,1697320517
70,stanley,54.868,-1.6985,3.62,80,3,5.19,GB,1697320518
71,manicore,-5.8092,-61.3003,30.97,70,20,0.51,BR,1697320518
72,tezu,27.9167,96.1667,19.82,70,1,1.56,IN,1697320518
73,hamilton,39.1834,-84.5333,14.32,87,100,6.17,US,1697320259
74,ribeira grande,38.5167,-28.7,21.54,88,99,4.92,PT,1697320519
75,hermanus,-34.4187,19.2345,15.81,78,96,10.0,ZA,1697320519
76,albany,42.6001,-73.9662,11.76,75,100,0.27,US,1697320290
77,leava,-14.3,-178.1667,26.63,82,24,9.39,WF,1697320520
78,lagos,6.5833,3.75,27.18,94,80,1.59,NG,1697320520
79,west island,-12.1568,96.8225,24.99,83,40,5.14,CC,1697320521
80,avarua,-21.2078,-159.775,26.03,65,40,4.63,CK,1697320468
81,la passe,45.5549,-0.8967,13.88,62,10,4.04,FR,1697320521
82,dalbandin,28.8947,64.4101,22.99,25,9,1.65,PK,1697320521
83,sandnessjoen,66.0217,12.6316,5.29,67,100,14.77,NO,1697320521
84,itupiranga,-5.1347,-49.3267,27.18,47,59,1.11,BR,1697320521
85,georgetown,5.4112,100.3354,26.68,95,40,1.54,MY,1697320327
86,utrik,11.2278,169.8474,28.16,77,76,5.27,MH,1697320522
87,carutapera,-1.195,-46.02,27.13,76,62,4.72,BR,1697320522
88,happy valley-goose bay,53.3168,-60.3315,9.17,87,100,12.35,CA,1697320522
89,bandar abbas,27.1865,56.2808,28.99,94,20,3.09,IR,1697320522
90,aasiaat,68.7098,-52.8699,-4.58,67,100,3.73,GL,1697320523
91,port mathurin,-19.6833,63.4167,22.69,66,0,4.78,MU,1697320523
92,praia da vitoria,38.7333,-27.0667,20.42,88,40,2.67,PT,1697320523
93,san antonio de pale,-1.4014,5.6325,25.75,84,100,7.33,GQ,1697320523
94,waat,51.1454,6.4958,9.95,91,23,2.06,DE,1697320523
95,east london,-33.0153,27.9116,16.13,79,96,2.29,ZA,1697320524
96,naze,28.3667,129.4833,20.51,69,85,7.31,JP,1697320524
97,al mindak,20.1588,41.2834,20.78,44,0,1.93,SA,1697320524
98,tolanaro,-25.0319,46.9987,24.04,83,75,1.03,MG,1697320524
99,dzhalagash,45.0833,64.6667,7.9,31,91,1.79,KZ,1697320525
100,floro,61.5996,5.0328,6.98,76,100,11.32,NO,1697320525
101,bargi,22.9833,79.8667,21.95,60,9,1.55,IN,1697320525
102,pacocha,-17.5833,-71.3333,20.08,73,0,4.63,PE,1697320525
103,lobujya,27.95,86.8167,-7.32,28,0,0.93,NP,1697320525
104,paramonga,-10.6667,-77.8333,19.43,84,100,4.74,PE,1697320526
105,charles city,43.0664,-92.6724,12.22,71,75,6.17,US,1697320526
106,harrismith,-28.2728,29.1295,9.54,86,31,3.85,ZA,1697320526
107,lubao,14.9167,120.55,26.04,91,46,0.94,PH,1697320526
108,astara,38.5,48.6667,8.99,82,6,1.14,AZ,1697320526
109,sechura,-5.5569,-80.8222,25.2,59,45,7.16,PE,1697320526
110,armacao de buzios,-22.7469,-41.8817,22.09,88,100,4.95,BR,1697320360
111,nemuro,43.3236,145.575,14.52,67,99,0.68,JP,1697320527
112,talnakh,69.4865,88.3972,1.23,90,100,2.57,RU,1697320527
113,port elizabeth,-33.918,25.5701,14.62,94,65,0.45,ZA,1697320527
114,kotma,23.2,81.9667,20.15,65,14,1.19,IN,1697320527
115,lerwick,60.1545,-1.1494,5.0,70,100,13.15,GB,1697320527
116,puerto natales,-51.7236,-72.4875,7.99,71,90,5.29,CL,1697320528
117,mineiros,-17.5694,-52.5511,27.75,50,76,2.15,BR,1697320528
118,camarinas,43.1311,-9.1817,17.32,84,100,5.47,ES,1697320528
119,kourou,5.1552,-52.6478,29.03,81,3,5.63,GF,1697320528
120,kununurra,-15.7667,128.7333,18.99,77,6,0.0,AU,1697320528
121,sabang,5.8933,95.3214,26.97,81,100,4.39,ID,1697320529
122,ancud,-41.8697,-73.8203,9.34,72,92,0.94,CL,1697320529
123,blackwater,-23.5833,148.8833,22.61,100,1,3.93,AU,1697320529
124,dudinka,69.4058,86.1778,1.49,93,100,6.71,RU,1697320529
125,jamestown,42.097,-79.2353,7.8,94,100,5.14,US,1697320307
126,taber,49.8167,-112.1518,16.11,55,92,7.2,CA,1697320530
127,zyryanovsk,49.7386,84.2719,5.36,94,100,0.93,KZ,1697320530
128,selfoss,63.9331,-20.9971,0.02,91,100,1.57,IS,1697320530
129,najran,17.4924,44.1277,23.36,26,3,1.46,SA,1697320530
130,lompoc,34.6391,-120.4579,30.08,57,0,4.12,US,1697320531
131,al bardiyah,31.7561,25.0865,21.54,72,0,4.74,LY,1697320531
132,ghadamis,30.1337,9.5007,23.46,22,0,3.49,LY,1697320531
133,port sudan,19.6175,37.2164,28.18,68,0,5.76,SD,1697320531
134,yarmouth,41.7057,-70.2286,14.98,74,100,3.6,US,1697320328
135,al jawf,29.5,38.75,22.62,21,0,3.78,SA,1697320531
136,tisul',55.7611,88.3122,6.08,68,100,5.38,RU,1697320409
